annualizedDiv,bestAsk,bestBid,beta,currentYield,divPayDate,earnings_per_share,exDivDate,fiftyDayAvgVol,fiftytwoHigh,fiftytwoLow,forward_pe_one_year,industry,marketCap,oneyeartarget,pe_ratio,previousClose,price,shareVolume,symbol,todaysHigh,todaysLow
.56,50.49,50.41,1.26,1.10,"
                        5/20/2019
                    ",4.10,"
                        5/10/2019
                    ","2,486,251",66.46,40.41,11.95,Finance,12332667520,59,12.3,51.14,50.41,"2,030,508",ETFC,51.36,50.34
2,98.17,85,1.18,2.22,"
                        3/29/2019
                    ",4.73,"
                        2/28/2019
                    ","968,291",101.20,78.83,17.96,Transportation,12384253810,97,19.06,89.99,90.16,"641,526",CHRW,90.23,89.29
,43.50,35,1.25,0,"
                        N/A
                    ",-1.51,"
                        N/A
                    ","1,654,841",48.82,35.10,18.01,Health Care,12526534981,48,,43.40,43,"2,039,183",HOLX,43.70,42.61
,238,224,1.19,0,"
                        N/A
                    ",7.75,"
                        N/A
                    ","458,572",235.975,130.79,19.84,Technology,12435496083,225,29.74,232.68,230.51,"351,013",ZBRA,232.91,229.70
,77.50,73.70,1.2,0,"
                        N/A
                    ",1.77,"
                        N/A
                    ","1,241,921",83.08,57.18,24.07,Miscellaneous,12566609297,80,43.33,75.34,76.69,"820,498",AKAM,76.77,75.52
.68,160,105.01,1.13,0.44,"
                        3/20/2019
                    ",7.39,"
                        3/5/2019
                    ","506,754",170.22,115,19.55,Transportation,12645270945,155,21.09,155.23,155.87,"373,458",ODFL,156.49,153.79
,,,0,0,"
                        N/A
                    ",2.01,"
                        N/A
                    ",104,49.94,35.4601,,Consumer Services,12869612421,,19.8,39.788,39.788,0,LSXMB,,
,250,224,1.16,0,"
                        N/A
                    ",18.11,"
                        N/A
                    ","445,359",333.74,177.70,12.02,Finance,12775129915,285,13.4,243.14,242.67,"303,981",SIVB,244.23,240.97
,,,0.56,0,"
                        N/A
                    ",2.01,"
                        N/A
                    ","602,151",48.57,34.92,16.51,Consumer Services,13129023026,60,20.19,39.95,40.59,"627,133",LSXMA,40.64,39.87
,,,0.59,0,"
                        N/A
                    ",2.01,"
                        N/A
                    ","771,855",48.56,34.839,18.75,Consumer Services,13096677564,54,20.14,39.93,40.49,"630,309",LSXMK,40.55,39.82
.90,85,79.03,1.17,1.12,"
                        12/17/2018
                    ",3.49,"
                        11/30/2018
                    ","1,069,776",80.69,61.69,22.72,Transportation,13741676685,77,22.91,80.43,79.96,"687,869",EXPD,80.08,79.4177
2.24,88,83.90,0.69,2.59,"
                        4/15/2019
                    ",1.73,"
                        3/19/2019
                    ","604,301",87.77,66.33,24.53,Finance,14024104617,75,49.69,86.60,85.97,"427,796",CINF,86.44,85.56
8,74.85,73.51,0.77,10.75,"
                        4/17/2019
                    ",11.18,"
                        3/8/2019
                    ",,81.88,50.33,,Capital Goods,14247821995,,6.66,74.40,74.45,"60,169",IEP,74.86,73.5201
1.40,100.58,99.46,0.85,1.40,"
                        3/22/2019
                    ",3.95,"
                        3/7/2019
                    ","2,300,148",116.815,93.9052,21.86,Technology,13152824425,112,25.28,100.11,99.85,"1,299,046",CTXS,100.17,99.32
,27.68,25.64,0.79,0,"
                        N/A
                    ",0.83,"
                        N/A
                    ","2,038,597",31.55,19.245,7.60,Consumer Services,14251763598,27.5,32.72,28.03,27.16,"1,602,893",DISCK,28,26.965
.80,45.01,31,0.45,2.20,"
                        4/1/2019
                    ",3.73,"
                        3/14/2019
                    ","33,117",38.35,27.01,,Consumer Services,14308999768,31,9.52,36.34,35.5,"23,676",VIA,36.4717,35.26
.56,13.82,13.25,1.08,4.11,"
                        7/1/2019
                    ",1.20,"
                        6/14/2019
                    ","15,069,275",16.525,11.12,10.23,Finance,14335023404,15,11.37,13.61,13.64,"7,472,352",HBAN,13.71,13.515
,65.61,64.43,0.9,0,"
                        N/A
                    ",1.99,"
                        N/A
                    ","1,414,328",67.079,44.61,30.26,Consumer Durables,14831101831,61,32.66,65.06,64.99,"809,861",CPRT,65.63,64.5666
1.76,91.12,85.13,0.75,1.96,"
                        3/29/2019
                    ",2.72,"
                        3/14/2019
                    ","797,502",96.84,75.4888,18.07,Finance,14842850002,97,32.99,89.99,89.73,"475,460",NDAQ,90.11,89.30
,85.32,81,1.6,0,"
                        N/A
                    ",-0.45,"
                        N/A
                    ","1,031,878",106.74,79.13,"4,158",Health Care,14931537029,120,,83.16,83.71,"989,067",BMRN,84.71,82.725
.40,33.51,33.48,0.67,1.16,"
                        2/20/2019
                    ",3.04,"
                        2/5/2019
                    ","6,882,526",47.77,28.81,5.99,Transportation,15034379747,43,11.01,34.37,33.48,"3,884,061",AAL,34.20,33.425
